teamID,yearID,yr_spend_mil,cumulative_spend_mil
KCA,1995,29.53,262.43
KCA,1996,20.28,282.71
KCA,1997,34.66,317.36
KCA,1998,36.86,354.23
KCA,1999,26.23,380.45
KCA,2000,23.43,403.88
KCA,2001,35.42,439.31
KCA,2002,47.26,486.56
KCA,2003,40.52,527.08
KCA,2004,47.61,574.69
KCA,2005,36.88,611.57
KCA,2006,47.29,658.87
KCA,2007,67.12,725.98
KCA,2008,58.25,784.23
KCA,2009,70.52,854.75
KCA,2010,71.41,926.15
KCA,2011,35.71,961.86
KCA,2012,60.92,1022.78
KCA,2013,80.09,1102.87
KCA,2014,74.59,1177.47
LAA,2005,94.87,94.87
LAA,2006,103.47,198.34
LAA,2007,109.25,307.59
LAA,2008,119.22,426.81
LAA,2009,113.71,540.52
LAA,2010,104.96,645.48
LAA,2011,138.54,784.02
LAA,2012,154.49,938.51
LAA,2013,124.17,1062.68
LAA,2014,121.99,1184.67
LAN,1985,10.97,10.97
LAN,1986,14.91,25.88
LAN,1987,13.68,39.56
LAN,1988,16.85,56.41
LAN,1989,21.07,77.48
LAN,1990,21.32,98.80
LAN,1991,32.79,131.59
LAN,1992,44.79,176.38
LAN,1993,39.33,215.71
LAN,1994,38.00,253.71
LAN,1995,39.27,292.98
LAN,1996,35.36,328.34
LAN,1997,45.38,373.72
LAN,1998,48.82,422.54
LAN,1999,80.86,503.40
LAN,2000,87.92,591.32
LAN,2001,109.11,700.43
LAN,2002,94.85,795.28
LAN,2003,105.57,900.85
LAN,2004,92.90,993.76
LAN,2005,83.04,1076.79
LAN,2006,98.45,1175.24
LAN,2007,108.45,1283.70
LAN,2008,118.59,1402.28
LAN,2009,100.41,1502.70
LAN,2010,95.36,1598.06
LAN,2011,104.19,1702.25
LAN,2012,95.14,1797.39
LAN,2013,223.36,2020.75
LAN,2014,217.01,2237.77
MIA,2012,118.08,118.08
MIA,2013,33.60,151.68
MIA,2014,41.84,193.52
MIL,1998,33.91,33.91
MIL,1999,43.38,77.29
MIL,2000,36.51,113.80
MIL,2001,43.89,157.68
MIL,2002,50.29,207.97
MIL,2003,40.63,248.60
MIL,2004,27.53,276.13
MIL,2005,39.93,316.06
MIL,2006,57.57,373.63
MIL,2007,70.99,444.62
MIL,2008,80.94,525.56
MIL,2009,80.18,605.74
MIL,2010,81.11,686.85
MIL,2011,85.50,772.34
MIL,2012,97.65,870.00
MIL,2013,76.95,946.94
MIL,2014,101.22,1048.16
MIN,1985,5.76,5.76
MIN,1986,8.75,14.51
MIN,1987,6.40,20.91
MIN,1988,12.46,33.37
MIN,1989,15.53,48.90
MIN,1990,14.60,63.51
MIN,1991,23.36,86.87
MIN,1992,28.03,114.90
MIN,1993,28.22,143.11
MIN,1994,28.44,171.55
MIN,1995,25.41,196.96
MIN,1996,23.12,220.08
MIN,1997,34.07,254.15
MIN,1998,27.93,282.08
MIN,1999,21.26,303.34
MIN,2000,16.52,319.86
MIN,2001,24.13,343.99
MIN,2002,40.43,384.41
MIN,2003,55.51,439.92
MIN,2004,53.59,493.50
MIN,2005,56.19,549.69
MIN,2006,63.40,613.08
MIN,2007,71.44,684.52
MIN,2008,56.93,741.46
MIN,2009,65.30,806.76
MIN,2010,97.56,904.32
MIN,2011,112.74,1017.05
MIN,2012,94.09,1111.14
MIN,2013,75.34,1186.47
MIN,2014,83.76,1270.24
ML4,1985,11.28,11.28
ML4,1986,9.94,21.23
ML4,1987,7.29,28.52
ML4,1988,8.40,36.92
ML4,1989,11.53,48.46
ML4,1990,19.72,68.18
ML4,1991,23.12,91.29
ML4,1992,31.01,122.30
ML4,1993,23.81,146.11
ML4,1994,24.35,170.46
ML4,1995,17.80,188.26
ML4,1996,21.73,209.99
ML4,1997,23.66,233.65
MON,1985,9.47,9.47
MON,1986,11.10,20.57
MON,1987,6.94,27.52
MON,1988,9.60,37.12
MON,1989,13.81,50.93
MON,1990,16.59,67.51
MON,1991,10.73,78.25
MON,1992,15.82,94.07
MON,1993,18.90,112.97
MON,1994,19.10,132.06
MON,1995,12.36,144.43
MON,1996,16.26,160.69
MON,1997,19.30,179.99
MON,1998,10.64,190.63
MON,1999,17.90,208.53
MON,2000,32.99,241.53
MON,2001,35.16,276.69
MON,2002,38.67,315.36
MON,2003,51.95,367.31
MON,2004,40.90,408.20
NYA,1985,14.24,14.24
NYA,1986,18.49,32.73
NYA,1987,17.10,49.83
NYA,1988,19.44,69.27
NYA,1989,17.11,86.39
NYA,1990,20.91,107.30
NYA,1991,27.34,134.64
NYA,1992,37.54,172.19
NYA,1993,42.62,214.81
NYA,1994,45.73,260.54
NYA,1995,48.87,309.42
NYA,1996,54.19,363.61
NYA,1997,62.24,425.85
NYA,1998,66.81,492.66
NYA,1999,86.73,579.39
NYA,2000,92.34,671.73
NYA,2001,112.29,784.02
NYA,2002,125.93,909.95
NYA,2003,152.75,1062.70
NYA,2004,184.19,1246.89
NYA,2005,208.31,1455.20
NYA,2006,194.66,1649.86
NYA,2007,189.26,1839.12
NYA,2008,207.90,2047.02
NYA,2009,201.45,2248.47
NYA,2010,206.33,2454.80
NYA,2011,202.28,2657.07
NYA,2012,196.52,2853.60
NYA,2013,231.98,3085.58
NYA,2014,197.54,3283.12
NYM,2014,54.81,54.81
NYN,1985,10.83,10.83
NYN,1986,15.39,26.23
NYN,1987,13.85,40.08
NYN,1988,15.27,55.34
NYN,1989,19.89,75.23
NYN,1990,21.72,96.95
NYN,1991,32.59,129.54
NYN,1992,44.60,174.14
NYN,1993,39.04,213.19
NYN,1994,30.96,244.14
NYN,1995,27.68,271.82
NYN,1996,24.48,296.30
NYN,1997,39.80,336.10
NYN,1998,52.08,388.18
NYN,1999,65.09,453.27
NYN,2000,79.51,532.78
NYN,2001,93.17,625.95
NYN,2002,94.63,720.59
NYN,2003,116.88,837.46
NYN,2004,96.66,934.12
NYN,2005,101.31,1035.43
NYN,2006,101.09,1136.52
NYN,2007,115.23,1251.75
NYN,2008,137.79,1389.54
NYN,2009,149.37,1538.91
NYN,2010,134.42,1673.34
NYN,2011,118.85,1792.18
NYN,2012,93.35,1885.54
NYN,2013,49.45,1934.99
NYN,2014,30.75,1965.74
OAK,1985,9.06,9.06
