teamID,yearID,annual_spend_mill
MON,2002,38.6705
MON,2003,51.9485
MON,2004,40.8975
NYA,1985,14.2382
NYA,1986,18.4943
NYA,1987,17.0997
NYA,1988,19.4412
NYA,1989,17.1144
NYA,1990,20.9123
NYA,1991,27.3442
NYA,1992,37.5433
NYA,1993,42.6249
NYA,1994,45.7313
NYA,1995,48.8749
NYA,1996,54.1918
NYA,1997,62.2415
NYA,1998,66.8069
NYA,1999,86.7344
NYA,2000,92.3383
NYA,2001,112.2871
NYA,2002,125.9286
NYA,2003,152.7498
NYA,2004,184.1940
NYA,2005,208.3068
NYA,2006,194.6631
NYA,2007,189.2590
NYA,2008,207.8968
NYA,2009,201.4492
NYA,2010,206.3334
NYA,2011,202.2750
NYA,2012,196.5223
NYA,2013,231.9789
NYA,2014,197.5439
NYM,2014,54.8070
NYN,1985,10.8348
NYN,1986,15.3937
NYN,1987,13.8467
NYN,1988,15.2693
NYN,1989,19.8851
NYN,1990,21.7228
NYN,1991,32.5900
NYN,1992,44.6020
NYN,1993,39.0437
NYN,1994,30.9566
NYN,1995,27.6750
NYN,1996,24.4795
NYN,1997,39.8004
NYN,1998,52.0780
NYN,1999,65.0921
NYN,2000,79.5098
NYN,2001,93.1744
NYN,2002,94.6336
NYN,2003,116.8764
NYN,2004,96.6610
NYN,2005,101.3058
NYN,2006,101.0850
NYN,2007,115.2317
NYN,2008,137.7934
NYN,2009,149.3740
NYN,2010,134.4229
NYN,2011,118.8473
NYN,2012,93.3540
NYN,2013,49.4483
NYN,2014,30.7500
OAK,1985,9.0586
OAK,1986,9.7794
OAK,1987,11.6808
OAK,1988,9.6900
OAK,1989,15.6131
OAK,1990,19.8875
OAK,1991,36.9992
OAK,1992,41.0350
OAK,1993,37.8123
OAK,1994,34.1725
OAK,1995,37.7392
OAK,1996,21.2430
OAK,1997,24.0185
OAK,1998,21.3030
OAK,1999,24.4318
OAK,2000,31.9713
OAK,2001,33.8108
OAK,2002,40.0042
OAK,2003,50.2608
OAK,2004,59.4257
OAK,2005,55.4258
OAK,2006,62.2431
OAK,2007,79.3669
OAK,2008,47.9671
OAK,2009,61.9100
OAK,2010,55.2549
OAK,2011,66.5365
OAK,2012,55.3725
OAK,2013,60.1325
OAK,2014,72.4084
PHI,1985,10.1250
PHI,1986,11.5902
PHI,1987,11.5142
PHI,1988,13.8380
PHI,1989,10.6040
PHI,1990,13.1737
PHI,1991,22.4873
PHI,1992,24.3838
PHI,1993,28.5383
PHI,1994,31.5990
PHI,1995,30.5559
PHI,1996,34.3145
PHI,1997,36.6565
PHI,1998,36.2975
PHI,1999,31.6925
PHI,2000,47.3080
PHI,2001,41.6638
PHI,2002,57.9550
PHI,2003,70.7800
PHI,2004,92.9192
PHI,2005,95.5220
PHI,2006,88.2733
PHI,2007,89.4282
PHI,2008,97.8799
PHI,2009,113.0040
PHI,2010,141.9284
PHI,2011,172.9764
PHI,2012,174.5389
PHI,2013,169.8632
PHI,2014,180.9450
PIT,1985,9.2275
PIT,1986,10.8435
PIT,1987,7.6520
PIT,1988,5.9985
PIT,1989,12.7375
PIT,1990,15.5560
PIT,1991,23.6347
PIT,1992,33.9442
PIT,1993,24.8225
PIT,1994,24.2173
PIT,1995,18.3553
PIT,1996,23.0175
PIT,1997,10.7717
PIT,1998,15.0650
PIT,1999,24.6977
PIT,2000,28.9283
PIT,2001,57.7608
PIT,2002,42.3236
PIT,2003,54.8124
PIT,2004,32.2279
PIT,2005,38.1330
PIT,2006,46.7178
PIT,2007,38.5378
PIT,2008,48.6898
PIT,2009,48.6930
PIT,2010,34.9430
PIT,2011,45.0470
PIT,2012,62.9520
PIT,2013,77.0620
PIT,2014,77.1780
SDN,1985,11.0366
SDN,1986,11.3807
SDN,1987,11.0658
SDN,1988,9.5610
SDN,1989,14.1950
SDN,1990,17.5883
SDN,1991,22.1500
SDN,1992,26.8542
SDN,1993,25.5113
SDN,1994,14.9163
SDN,1995,26.3823
SDN,1996,28.3482
SDN,1997,37.3637
SDN,1998,46.8615
SDN,1999,49.7682
SDN,2000,54.8210
SDN,2001,39.1828
SDN,2002,41.4250
SDN,2003,45.2100
SDN,2004,55.3848
SDN,2005,63.2908
SDN,2006,69.8961
SDN,2007,58.1106
SDN,2008,73.6776
SDN,2009,43.3337
SDN,2010,37.7993
SDN,2011,45.8691
SDN,2012,55.2447
SDN,2013,65.5855
SDN,2014,75.6857
SEA,1985,4.6130
SEA,1986,5.9583
